2023-09-07 07:45:10.0391 |  | INFO | GlobalActionMonitor |  | admin |  |  |  | {  "code": 200,  "msg": "success",  "data": {    "name": null,    "id": 0  }} | 
2023-09-07 07:45:14.5909 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"username":"admin","password":"***","code":"11","uuid":"28019c8f66f84c9b960c4ee4566b15e9","clientId":"9ca159da7f6ca05740d43d0e52cb952b"} | {  "code": 200,  "msg": "success",  "data": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkJlYXJlciJ9.eyJwcmltYXJ5c2lkIjoiMSIsInVuaXF1ZV9uYW1lIjoiYWRtaW4iLCJodHRwOi8vc2NoZW1hcy5taWNyb3NvZnQuY29tL3dzLzIwMDgvMDYvaWRlbnRpdHkvY2xhaW1zL3VzZXJkYXRhIjoie1wiVXNlcklkXCI6MSxcIkRlcHRJZFwiOjAsXCJVc2VyTmFtZVwiOlwiYWRtaW5cIixcIlJvbGVJZHNcIjpbXCJhZG1pblwiXSxcIlJvbGVzXCI6W3tcIlJvbGVJZFwiOjEsXCJSb2xlS2V5XCI6XCJhZG1pblwiLFwiRGF0YVNjb3BlXCI6MX1dLFwiRXhwaXJlVGltZVwiOlwiMDAwMS0wMS0wMVQwMDowMDowMFwifSIsIkF1ZGllbmNlIjoiTGVhbjM2NS5ORVQiLCJJc3N1ZXIiOiJMZWFuMzY1Lk5FVCIsIm5iZiI6MTY5NDA0MzkxNCwiZXhwIjoxNjk0MTMwMzE0LCJpYXQiOjE2OTQwNDM5MTQsImlzcyI6IkxlYW4zNjUuTkVUIiwiYXVkIjoiTGVhbjM2NS5ORVQifQ.ZzXCTnDddWQH-WP-acxnWiiTtAnQ2mddmv3COfBsfhw"} | 
2023-09-07 07:45:46.1609 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"iiGuid":"6d35f31f-15b9-45fe-bf47-f34ff05fb563","iiLangkey":"zh-cn","iiCategory":"C","iiShortName":"DCA1","iiFullName":"东城光电1","iiNature":"C","iiOuterPhone":"0769-85548888","iiInnerPhone":"9009","iiFax":"0769-85549999","iiPostalcode":"534651","iiEmail":"123@dca.com","iiOrgCode":"A845666","iiCorporate":"李四dg","iiRegionId":"CN","iiProvinceId":"广东","iiCityId":"东莞","iiCountyId":"东莞","iiTownId":"长安","iiVillageId":"上角","iiAddress":"东莞","iiEnAddress":"东莞","iiFoundedTime":"2023-09-06 11:07:47","iiBusinessScope":"光电","iiParentCorp":"smc光电","iiSortCode":1,"iiisEnabled":0,"iiSlogan":"光电","udF51":0,"udF52":0,"udF53":0,"udF54":0,"udF55":0,"udF56":0,"reMarks":"光电","isDeleted":0,"createBy":"Lean365","createTime":"2023-09-06 11:07:47","uDF51":"0","uDF53":"0","uDF55":"0","uDF52":"0","uDF54":"0","uDF56":"0"} | {  "code": 200,  "msg": "success"} | 
2023-09-07 07:49:15.6143 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907074915.zip",    "fileName": null  }} | 
2023-09-07 07:51:28.6503 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907075128.zip",    "fileName": null  }} | 
2023-09-07 08:20:31.2447 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907082030.zip",    "fileName": null  }} | 
2023-09-07 08:20:33.0894 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":68,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-生产工单-0907082032.zip",    "fileName": null  }} | 
2023-09-07 08:23:58.1600 |  | INFO | GlobalActionMonitor |  | admin |  |  | ?tableName=inst_info&dbName=La_Deb |  | 
2023-09-07 08:25:56.5072 |  | INFO | GlobalActionMonitor |  | admin |  |  |  | {  "code": 200,  "msg": "success",  "data": true} | 
2023-09-07 08:26:00.8461 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907082600.zip",    "fileName": null  }} | 
2023-09-07 08:29:16.2332 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907082915.zip",    "fileName": null  }} | 
2023-09-07 08:29:57.4647 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907082957.zip",    "fileName": null  }} | 
2023-09-07 08:32:45.5159 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083244.zip",    "fileName": null  }} | 
2023-09-07 08:33:30.1292 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083329.zip",    "fileName": null  }} | 
2023-09-07 08:34:16.8380 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083416.zip",    "fileName": null  }} | 
2023-09-07 08:34:57.9092 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083457.zip",    "fileName": null  }} | 
2023-09-07 08:36:04.7859 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083604.zip",    "fileName": null  }} | 
2023-09-07 08:39:40.4266 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083939.zip",    "fileName": null  }} | 
2023-09-07 08:39:49.7025 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907083949.zip",    "fileName": null  }} | 
2023-09-07 08:40:33.4891 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907084032.zip",    "fileName": null  }} | 
2023-09-07 08:40:57.1575 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907084056.zip",    "fileName": null  }} | 
2023-09-07 08:41:21.7646 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907084121.zip",    "fileName": null  }} | 
2023-09-07 08:42:43.6144 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907084243.zip",    "fileName": null  }} | 
2023-09-07 08:43:08.9134 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":66,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-机构信息-0907084308.zip",    "fileName": null  }} | 
