2023-09-06 15:35:55.4245 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictId":110,"dictName":"工单状态","dictType":"sys_mo_state","isStatus":"0","type":"N","createBy":"admin","createTime":"2023-09-06 15:33:29","remark":"工单状态(sys_mo_state)"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:38:50.8588 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictId":110,"dictName":"工单状态","dictType":"sys_mo_state","isStatus":"0","type":"N","createBy":"admin","createTime":"2023-09-06 15:33:29","remark":"sys_mo_state"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:40:57.7158 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictId":110,"dictName":"工单状态","dictType":"sys_mo_state","isStatus":"0","type":"N","createBy":"admin","createTime":"2023-09-06 15:33:29","remark":"sys_mo_state"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:41:08.3270 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictId":110,"dictName":"工单状态","dictType":"sys_mo_state","isStatus":"0","type":"N","createBy":"admin","createTime":"2023-09-06 15:33:29","reMarks":"reMarks"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:41:29.8507 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictId":110,"dictName":"工单状态","dictType":"sys_mo_state","isStatus":"0","type":"N","createBy":"admin","createTime":"2023-09-06 15:33:29","reMarks":"reMarks(sys_mo_state)"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:43:11.0557 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictLabel":"1","dictValue":"1","dictSort":0,"isStatus":"0","dictType":"sys_mo_state"} | {  "code": 200,  "msg": "success",  "data": 1521} | 
2023-09-06 15:43:59.1734 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictCode":1521,"dictSort":0,"dictLabel":"已完工","dictValue":"1","dictType":"sys_mo_state","cssClass":"text-info","listClass":"info","isStatus":"0","createBy":"admin","createTime":"2023-09-06 15:43:11"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:44:17.9120 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictLabel":"未完工","dictValue":"0","dictSort":0,"isStatus":"0","dictType":"sys_mo_state","cssClass":"text-danger","listClass":"danger"} | {  "code": 200,  "msg": "success",  "data": 1522} | 
2023-09-06 15:44:25.8239 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"dictCode":1521,"dictSort":0,"dictLabel":"已完工","dictValue":"1","dictType":"sys_mo_state","cssClass":"text-primary","listClass":"primary","isStatus":"0","createBy":"admin","createTime":"2023-09-06 15:43:11","updateTime":"2023-09-06 15:43:59"} | {  "code": 200,  "msg": "success",  "data": 1} | 
2023-09-06 15:44:52.0688 |  | INFO | GlobalActionMonitor |  | admin |  |  |  | {  "code": 200,  "msg": "success",  "data": true} | 
2023-09-06 15:44:56.2025 |  | INFO | GlobalActionMonitor |  | admin |  |  | {"tableId":68,"VueVersion":3} | {  "code": 200,  "msg": "success",  "data": {    "path": "/Generatecode/Lean365.NET-生产工单-0906154455.zip",    "fileName": null  }} | 
2023-09-06 15:46:53.1352 |  | INFO | GlobalActionMonitor |  | admin |  |  |  | {  "code": 200,  "msg": "success",  "data": true} | 
